skill_name,accuracy,rmse
bangun_ruang,0.7628024760832864,0.4870292844549633
barisan_deret,0.7770906949352179,0.47213271975661897
eksponen_logaritma,0.7607683352735739,0.4891131410281532
fungsi_kuadrat,0.7591043970865929,0.4908111682851227
himpunan,0.7649321725045556,0.4848379394142381
integral,0.7661664392905866,0.48356339885211885
matriks,0.766444508838018,0.48327579202974985
peluang_dasar,0.7508465011286681,0.49915278109145284
persamaan_linear_satu_variabel,0.7610316967060285,0.4888438434653457
teorema_pythagoras,0.7644217107132708,0.48536407910632323
trigonometri,0.7618364418938307,0.4880200386317854
turunan,0.7761027359017308,0.4731778355948946
aljabar_dasar,0.7797866034380557,0.4692690023450774
limit,0.7633383010432191,0.4864788782226634
perbandingan,0.7372033171289677,0.5126369893706777
sistem_persamaan_linear,0.7668761956818803,0.48282895969289136
statistika_dasar,0.7573424579412603,0.4926028238436516
aritmatika_sosial,0.7483922829581994,0.5016051405655654
bilangan_bulat,0.8099496925656792,0.43594759711956305
TOTAL,0.7649344555558814,0.4848355849606324
